PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
0.25,0.312,0.438,0.125,0.25,0.188,0.0,0.0,0.312,0.25,0.438,0.25,0.312,0.438,0.0,0.062,0.562,0.125,0.312,0.188,0.5,0.312,0.062,0.5,0.5,1.729,0.411,0.3,-0.063,0.194
0.25,0.312,0.438,0.125,0.062,0.062,0.0,0.062,0.312,0.25,0.438,0.125,0.5,0.375,0.062,0.0,0.312,0.188,0.5,0.062,0.625,0.312,0.0,0.625,0.375,2.284,0.926,0.489,-0.41,-0.313
0.125,0.062,0.812,0.438,0.312,0.312,0.0,0.125,0.062,0.125,0.812,0.25,0.188,0.5,0.188,0.0,0.438,0.25,0.312,0.312,0.312,0.375,0.375,0.562,0.438,1.054,-0.57,-0.11,-0.526,-0.02
0.125,0.125,0.75,0.125,0.562,0.438,0.0,0.188,0.125,0.125,0.75,0.625,0.188,0.125,0.0,0.062,0.25,0.625,0.125,0.625,0.25,0.125,0.062,0.375,0.625,-1.185,-0.257,-0.272,-0.359,-0.282
0.062,0.375,0.562,0.125,0.375,0.25,0.0,0.125,0.375,0.062,0.562,0.438,0.125,0.375,0.0,0.125,0.25,0.438,0.312,0.375,0.5,0.125,0.062,0.562,0.438,0.441,-0.026,0.337,-1.017,-0.27
0.062,0.188,0.75,0.375,0.312,0.312,0.062,0.25,0.188,0.062,0.75,0.312,0.188,0.312,0.062,0.0,0.188,0.5,0.312,0.25,0.438,0.375,0.062,0.5,0.5,-0.183,0.277,-0.048,-0.805,-0.15
0.125,0.125,0.75,0.125,0.5,0.438,0.0,0.188,0.125,0.125,0.75,0.312,0.25,0.312,0.0,0.0,0.125,0.438,0.438,0.5,0.312,0.188,0.188,0.625,0.375,0.251,-0.442,0.024,-0.441,-0.364
0.125,0.312,0.562,0.312,0.188,0.188,0.0,0.125,0.312,0.125,0.562,0.25,0.188,0.438,0.0,0.062,0.438,0.312,0.25,0.25,0.562,0.188,0.125,0.438,0.562,1.187,0.331,0.214,-0.842,-0.137
0.125,0.25,0.625,0.0,0.562,0.5,0.0,0.0,0.25,0.125,0.625,0.5,0.188,0.312,0.0,0.062,0.375,0.375,0.25,0.5,0.438,0.062,0.125,0.625,0.375,0.276,-0.984,-0.518,-0.83,0.007
0.438,0.188,0.375,0.125,0.188,0.125,0.0,0.125,0.188,0.438,0.375,0.188,0.5,0.25,0.0,0.0,0.688,0.188,0.125,0.188,0.438,0.25,0.0,0.125,0.875,1.185,1.222,-0.754,0.597,-0.132
0.062,0.062,0.875,0.312,0.562,0.438,0.0,0.312,0.062,0.062,0.875,0.625,0.062,0.125,0.062,0.062,0.125,0.812,0.062,0.5,0.062,0.438,0.0,0.5,0.5,-1.841,-0.337,-0.414,-0.208,-0.431
0.125,0.125,0.75,0.188,0.562,0.375,0.0,0.312,0.125,0.125,0.75,0.625,0.125,0.125,0.0,0.062,0.25,0.688,0.062,0.625,0.188,0.188,0.062,0.375,0.625,-1.474,-0.033,-0.126,-0.199,-0.346
0.125,0.062,0.812,0.25,0.5,0.375,0.0,0.062,0.062,0.125,0.812,0.625,0.188,0.188,0.125,0.188,0.438,0.438,0.125,0.438,0.188,0.312,0.188,0.438,0.562,-0.581,-0.626,-0.459,-0.231,-0.307
0.062,0.125,0.812,0.25,0.5,0.188,0.0,0.312,0.125,0.062,0.812,0.562,0.125,0.188,0.062,0.188,0.312,0.5,0.188,0.438,0.188,0.375,0.125,0.312,0.688,-1.156,0.538,0.484,0.132,-0.603
0.188,0.312,0.5,0.125,0.25,0.25,0.0,0.062,0.312,0.188,0.5,0.25,0.312,0.375,0.0,0.0,0.5,0.25,0.25,0.25,0.625,0.125,0.062,0.438,0.562,1.301,0.201,-0.269,-0.84,-0.066
0.25,0.375,0.375,0.188,0.125,0.125,0.0,0.062,0.375,0.25,0.375,0.125,0.312,0.5,0.0,0.0,0.75,0.125,0.125,0.125,0.625,0.188,0.062,0.25,0.75,1.996,0.601,-0.403,-0.698,-0.041
0.125,0.25,0.625,0.125,0.5,0.438,0.0,0.125,0.25,0.125,0.625,0.438,0.125,0.312,0.0,0.062,0.375,0.438,0.188,0.438,0.312,0.25,0.125,0.5,0.5,-0.059,-0.549,-0.261,-0.549,-0.089
0.188,0.312,0.5,0.375,0.062,0.062,0.0,0.312,0.312,0.188,0.5,0.125,0.25,0.312,0.0,0.062,0.375,0.438,0.188,0.125,0.5,0.375,0.062,0.312,0.688,0.809,0.992,0.261,-0.549,-0.636
