AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
7.14,0.0,0.0,0.0,0.0,14.29,3.57,14.29,10.71,10.71,0.0,0.0,3.57,0.0,21.43,0.0,3.57,7.14,0.0,3.57
5.0,0.0,0.0,0.0,15.0,10.0,5.0,10.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
5.0,0.0,0.0,0.0,15.0,10.0,5.0,5.0,35.0,10.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
5.56,0.0,0.0,0.0,16.67,0.0,5.56,5.56,38.89,11.11,0.0,0.0,5.56,0.0,0.0,5.56,0.0,0.0,5.56,0.0
6.25,0.0,6.25,0.0,6.25,18.75,0.0,18.75,12.5,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,12.5,0.0,0.0
7.69,0.0,7.69,7.69,15.38,7.69,0.0,23.08,15.38,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
11.76,0.0,5.88,0.0,5.88,17.65,5.88,23.53,11.76,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0
11.76,0.0,5.88,0.0,5.88,11.76,5.88,23.53,11.76,5.88,0.0,0.0,0.0,0.0,0.0,11.76,0.0,5.88,0.0,0.0
5.88,0.0,5.88,0.0,5.88,11.76,5.88,23.53,11.76,5.88,0.0,0.0,0.0,0.0,0.0,11.76,0.0,11.76,0.0,0.0
2.63,0.0,0.0,7.89,5.26,13.16,0.0,10.53,21.05,13.16,0.0,2.63,5.26,7.89,5.26,2.63,0.0,2.63,0.0,0.0
0.0,32.0,4.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0
14.81,0.0,0.0,3.7,0.0,18.52,0.0,7.41,14.81,14.81,0.0,3.7,0.0,0.0,0.0,3.7,11.11,3.7,0.0,3.7
14.81,0.0,0.0,3.7,0.0,18.52,3.7,7.41,14.81,18.52,0.0,0.0,0.0,0.0,0.0,7.41,7.41,0.0,0.0,3.7
22.22,0.0,0.0,3.7,0.0,18.52,0.0,3.7,14.81,18.52,0.0,3.7,0.0,0.0,0.0,3.7,0.0,7.41,0.0,3.7
11.11,0.0,0.0,3.7,7.41,14.81,0.0,7.41,14.81,14.81,0.0,0.0,0.0,3.7,0.0,7.41,7.41,3.7,0.0,3.7
0.0,0.0,0.0,0.0,0.0,11.11,5.56,27.78,22.22,5.56,0.0,5.56,0.0,0.0,16.67,0.0,0.0,0.0,0.0,5.56
0.0,0.0,0.0,0.0,0.0,5.56,5.56,33.33,22.22,5.56,0.0,5.56,0.0,0.0,16.67,0.0,0.0,0.0,0.0,5.56
0.0,0.0,0.0,0.0,0.0,5.56,5.56,27.78,22.22,5.56,0.0,5.56,0.0,0.0,16.67,0.0,5.56,0.0,0.0,5.56
13.33,20.0,0.0,3.33,3.33,10.0,0.0,10.0,0.0,3.33,0.0,0.0,3.33,3.33,13.33,0.0,3.33,0.0,3.33,10.0
10.0,20.0,3.33,3.33,3.33,10.0,0.0,10.0,0.0,3.33,0.0,0.0,3.33,3.33,13.33,0.0,3.33,0.0,3.33,10.0
5.56,0.0,0.0,0.0,16.67,0.0,5.56,5.56,38.89,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0
5.56,0.0,0.0,0.0,16.67,0.0,5.56,5.56,38.89,16.67,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5.56,0.0
5.88,0.0,0.0,0.0,23.53,0.0,5.88,5.88,35.29,17.65,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
