PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,CeTD_HB1,CeTD_HB2,CeTD_HB3,CeTD_VW1,CeTD_VW2,CeTD_VW3,CeTD_PZ1,CeTD_PZ2,CeTD_11_HB,CeTD_11_VW,CeTD_11_PO,CeTD_11_PZ,CeTD_11_CH,CeTD_11_SS,CeTD_11_SA,CeTD_12_HB,CeTD_12_VW,CeTD_12_PZ,CeTD_12_CH,CeTD_12_SS,CeTD_12_SA,CeTD_1-3_HB,CeTD_1-3_VW,CeTD_1-3_PO,CeTD_1-3_PZ,CeTD_22_PZ,CeTD_22_CH,CeTD_22_SA,CeTD_23_VW,CeTD_23_PO,CeTD_23_PZ,CeTD_23_SS,CeTD_23_SA,CeTD_31_HB,CeTD_31_PO,CeTD_31_PZ,CeTD_31_CH,CeTD_31_SS,CeTD_31_SA,CeTD_32_HB,CeTD_32_VW,CeTD_32_PO,CeTD_32_PZ,CeTD_32_CH,CeTD_32_SS,CeTD_32_SA,CeTD_33_HB,CeTD_33_VW,CeTD_33_PZ,CeTD_33_CH,CeTD_33_SS,CeTD_33_SA,CeTD_0_p_HB1,CeTD_25_p_HB1,CeTD_0_p_VW1,CeTD_0_p_PO1,CeTD_25_p_PO1,CeTD_0_p_PZ1,CeTD_0_p_CH1,CeTD_25_p_CH1,CeTD_0_p_SS1,CeTD_25_p_SS1,CeTD_0_p_SA1,CeTD_0_p_HB2,CeTD_0_p_VW2,CeTD_0_p_PO2,CeTD_0_p_PZ2,CeTD_0_p_CH2,CeTD_0_p_SS2,CeTD_25_p_SS2,CeTD_0_p_SA2,CeTD_0_p_HB3,CeTD_25_p_HB3,CeTD_0_p_VW3,CeTD_25_p_VW3,CeTD_0_p_PO3,CeTD_25_p_PO3,CeTD_0_p_PZ3,CeTD_0_p_CH3,CeTD_0_p_SS3,CeTD_0_p_SA3,CeTD_25_p_SA3,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
0.093,0.07,0.837,0.302,0.442,0.372,0.0,0.14,0.442,0.186,0.349,0.116,0.116,0.279,0.372,0.349,0.558,0.209,0.186,0.488,0.721,0.799,-0.798,0.434,-0.325,-0.49,25.58,48.84,25.58,50.0,23.68,26.32,44.19,32.56,2,5,4,4,12,4,5,3,3,5,3,2,3,4,6,1,3,7,4,2,2,2,0,30,3,0,0,5,3,4,4,5,6,2,8,5,13,7,4,7,2,3,2,2,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,2,3.0,1.0,1.0,1.0,1.0,1.29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
0.124,0.082,0.794,0.216,0.443,0.371,0.082,0.093,0.526,0.34,0.289,0.113,0.072,0.258,0.34,0.402,0.433,0.33,0.227,0.268,0.691,0.618,-0.324,0.238,-0.341,-0.152,34.02,40.21,25.77,48.89,27.78,23.33,37.11,41.24,7,15,11,16,15,8,10,8,6,16,8,11,5,9,12,4,4,14,12,9,0,10,1,60,6,0,1,7,12,6,10,8,14,7,13,19,15,17,9,18,8,8,9,5,0,8,0,0,6,0,0,6,0,5,0,0,0,0,0,0,0,2,0,0,2,0,6,0,8,0,0,0,0,5,1.44,1.0,1.25,0.0,1.0,1.5,1.0,1.0,1.0,1.0,0.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.107,0.179,0.714,0.214,0.429,0.393,0.0,0.107,0.429,0.179,0.321,0.036,0.036,0.571,0.25,0.179,0.464,0.429,0.107,0.214,0.357,0.07,-0.263,-0.33,-0.695,-0.012,42.86,25.0,32.14,22.22,55.56,22.22,21.43,57.14,4,3,5,3,1,3,5,2,1,3,2,4,9,2,0,3,2,10,2,3,0,3,0,11,5,0,0,6,6,4,4,1,1,5,0,0,5,7,0,5,3,2,1,0,0,3,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1.67,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.25,0.075,0.675,0.275,0.35,0.3,0.0,0.05,0.425,0.3,0.3,0.125,0.15,0.425,0.275,0.3,0.5,0.25,0.175,0.45,0.6,1.129,-0.597,0.222,-0.022,-0.25,32.5,37.5,30.0,44.12,20.59,35.29,37.5,32.5,4,7,2,3,5,7,6,2,3,3,6,2,1,3,6,3,3,4,4,4,1,6,1,20,2,1,0,7,4,6,5,3,2,4,4,4,8,8,3,5,4,6,1,0,0,3,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,1,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.15,0.317,0.533,0.15,0.367,0.283,0.033,0.067,0.367,0.2,0.467,0.05,0.033,0.683,0.117,0.2,0.3,0.533,0.15,0.167,0.35,0.962,-0.002,-0.257,-0.82,0.281,55.0,25.0,20.0,31.67,43.33,25.0,28.33,46.67,19,3,10,10,4,1,4,7,1,9,4,5,13,8,7,4,3,13,9,5,1,4,2,18,12,4,5,29,5,6,3,1,3,8,1,3,5,7,6,11,2,1,7,1,0,8,0,0,3,0,0,6,0,3,0,0,0,0,0,0,0,2,0,0,4,0,10,0,1,0,0,0,0,2,1.57,0.0,1.0,1.62,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.091,0.182,0.727,0.182,0.545,0.455,0.0,0.182,0.455,0.091,0.364,0.091,0.0,0.455,0.273,0.273,0.545,0.273,0.182,0.364,0.455,-0.07,-0.395,-0.013,-0.416,0.158,27.27,45.45,27.27,45.45,27.27,27.27,45.45,27.27,1,1,1,2,1,1,0,2,1,1,2,1,1,1,1,1,0,1,1,1,0,1,0,5,2,1,0,2,2,1,1,0,1,1,1,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.37,0.0,0.63,0.037,0.593,0.593,0.148,0.0,0.519,0.519,0.111,0.037,0.0,0.704,0.037,0.259,0.444,0.519,0.185,0.444,0.63,0.827,-0.842,-0.437,0.465,0.84,37.04,59.26,3.7,59.26,3.7,37.04,44.44,18.52,5,5,0,4,10,1,1,0,0,1,4,0,0,1,5,0,5,0,4,3,5,5,0,11,0,0,0,13,0,5,1,0,0,4,1,2,9,2,0,1,4,1,3,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,3.22,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.034,0.126,0.839,0.23,0.563,0.517,0.057,0.057,0.54,0.138,0.471,0.184,0.023,0.31,0.287,0.402,0.529,0.253,0.253,0.414,0.782,0.555,-1.27,0.186,-0.776,0.173,21.84,56.32,21.84,63.53,27.06,9.41,56.32,34.48,3,10,5,10,30,9,6,8,5,15,6,15,5,2,5,3,0,13,2,3,0,3,0,59,10,0,1,4,13,10,10,4,11,12,8,14,23,11,12,10,5,12,5,5,0,4,0,0,4,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,6,0,6,0,0,0,0,5,1.29,1.0,1.0,1.0,1.0,1.31,0.0,1.0,1.0,1.0,0.0,1.0,1.4,1.0,1.0,1.0,1.0,1.25,1.0,1.0
0.4,0.0,0.6,0.04,0.56,0.52,0.0,0.04,0.44,0.4,0.16,0.04,0.0,0.64,0.2,0.16,0.56,0.04,0.16,0.32,0.32,0.479,-0.335,-1.074,0.658,0.256,28.0,44.0,28.0,32.0,24.0,44.0,32.0,24.0,4,1,1,2,6,3,1,3,3,2,2,1,2,3,2,2,6,2,3,2,4,2,0,15,0,0,0,10,4,1,2,1,2,3,0,1,9,2,3,2,0,2,1,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,1.5,0.0,0.0,0.0,1.0,1.67,1.67,1.5,1.0,1.0,0.0,0.0,0.0,0.0,4.33,1.0,0.0,0.0,0.0,0.0
0.111,0.044,0.844,0.156,0.689,0.622,0.067,0.111,0.667,0.178,0.222,0.089,0.0,0.511,0.289,0.2,0.622,0.133,0.244,0.311,0.556,-0.68,-0.866,-0.296,-0.196,0.426,13.33,51.11,35.56,44.44,33.33,22.22,37.78,40.0,1,3,2,3,12,7,2,7,7,6,3,6,4,5,3,5,2,7,6,5,0,3,0,34,2,0,0,11,7,4,7,3,3,4,3,2,16,4,7,4,1,7,1,3,0,1,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,2,1.22,0.0,1.0,1.0,1.0,1.67,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.4,0.0,1.0
