RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
3.0,1.0,1.0,1.0,1.0,1.29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
1.44,1.0,1.25,0.0,1.0,1.5,1.0,1.0,1.0,1.0,0.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.67,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1.57,0.0,1.0,1.62,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3.22,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.29,1.0,1.0,1.0,1.0,1.31,0.0,1.0,1.0,1.0,0.0,1.0,1.4,1.0,1.0,1.0,1.0,1.25,1.0,1.0
1.5,0.0,0.0,0.0,1.0,1.67,1.67,1.5,1.0,1.0,0.0,0.0,0.0,0.0,4.33,1.0,0.0,0.0,0.0,0.0
1.22,0.0,1.0,1.0,1.0,1.67,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.4,0.0,1.0
2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.86,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,1.33,1.0,1.0,1.0,1.33,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1.67,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.67,0.0,1.0
1.4,0.0,1.0,0.0,1.0,1.57,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.67,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.67,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.67,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2,1.0,1.0
1.67,1.0,0.0,1.0,1.67,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.33,1.0,0.0,0.0,1.0,1.86,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.67,0.0,0.0
2.0,1.0,1.0,0.0,1.67,1.67,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5,1.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5,0.0,0.0,1.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,0.0,0.0,0.0,0.0,0.0,1.67,1.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.33,0.0,0.0,1.0,0.0,1.5,0.0,0.0,2.2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.33,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.86,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.6,1.75,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.86,0.0,0.0,1.0,1.0,2.5,1.0,0.0,1.0,1.0,0.0
1.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.86,0.0,0.0,1.0,1.0,3.4,1.0,0.0,1.0,1.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.67,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.67,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.67,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.67,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.5,1.0,1.0,0.0,1.0,3.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0,1.5,1.0,0.0,1.0,1.67,0.0,1.67,1.0,0.0,1.0,1.0,1.0,1.4,0.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,1.25,1.0,1.0,0.0,1.29,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,0.0,1.0
1.0,1.0,0.0,0.0,1.0,1.67,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,1.25,1.0,1.0,1.0,1.22,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
